1,Dwarf #1,992,49600,16531
1,Dwarf #2,1133,56650,18881
1,Dwarf #3,1063,53150,17714
1,Dwarf #4,1081,54050,18014
1,Dwarf #5,1105,55250,18414
1,Dwarf #6,1100,55000,18331
1,Dwarf #7,1231,61550,20514
1,Dwarf #8,1250,62500,20831
1,Dwarf #9,1158,57900,19298
1,Dwarf #10,1048,52400,17464
1,Dwarf #11,1040,52000,17331
1,Dwarf #12,956,47800,15931
1,Dwarf #13,1239,61950,20648
1,Dwarf #14,1299,64950,21648
1,Dwarf #15,1214,60700,20231
1,Dwarf #16,1078,53900,17964
1,Dwarf #17,1192,59600,19864
1,Dwarf #18,958,47900,15964
1,Dwarf #19,1217,60850,20281
1,Dwarf #20,1057,52850,17614
2,Dwarf #1,1061,53050,17681
2,Dwarf #2,1001,50050,16681
2,Dwarf #3,1176,58800,19598
2,Dwarf #4,1026,51300,17098
2,Dwarf #5,924,46200,15398
2,Dwarf #6,1198,59900,19964
2,Dwarf #7,1196,59800,19931
2,Dwarf #8,958,47900,15964
2,Dwarf #9,1253,62650,20881
2,Dwarf #10,1190,59500,19831
2,Dwarf #11,1133,56650,18881
2,Dwarf #12,1172,58600,19531
2,Dwarf #13,1221,61050,20348
2,Dwarf #14,1095,54750,18248
2,Dwarf #15,887,44350,14781
2,Dwarf #16,1085,54250,18081
2,Dwarf #17,934,46700,15564
2,Dwarf #18,998,49900,16631
2,Dwarf #19,1255,62750,20914
2,Dwarf #20,1229,61450,20481
3,Dwarf #1,1203,60150,20048
3,Dwarf #2,1182,59100,19698
3,Dwarf #3,1225,61250,20414
3,Dwarf #4,1069,53450,17814
3,Dwarf #5,1171,58550,19514
3,Dwarf #6,1189,59450,19814
3,Dwarf #7,1263,63150,21048
3,Dwarf #8,959,47950,15981
3,Dwarf #9,1184,59200,19731
3,Dwarf #10,1073,53650,17881
3,Dwarf #11,1148,57400,19131
3,Dwarf #12,1089,54450,18148
3,Dwarf #13,1156,57800,19264
3,Dwarf #14,1015,50750,16914
3,Dwarf #15,903,45150,15048
3,Dwarf #16,1211,60550,20181
3,Dwarf #17,975,48750,16248
3,Dwarf #18,1052,52600,17531
3,Dwarf #19,1151,57550,19181
3,Dwarf #20,1198,59900,19964
4,Dwarf #1,1110,55500,18498
4,Dwarf #2,1248,62400,20798
4,Dwarf #3,1266,63300,21098
4,Dwarf #4,1126,56300,18764
4,Dwarf #5,1083,54150,18048
4,Dwarf #6,938,46900,15631
4,Dwarf #7,1178,58900,19631
4,Dwarf #8,1127,56350,18781
4,Dwarf #9,1109,55450,18481
4,Dwarf #10,978,48900,16298
4,Dwarf #11,1175,58750,19581
4,Dwarf #12,1118,55900,18631
4,Dwarf #13,1302,65100,21698
4,Dwarf #14,1053,52650,17548
4,Dwarf #15,1152,57600,19198
4,Dwarf #16,1226,61300,20431
4,Dwarf #17,1110,55500,18498
4,Dwarf #18,1098,54900,18298
4,Dwarf #19,1022,51100,17031
4,Dwarf #20,1117,55850,18614
5,Dwarf #1,1135,56750,18914
5,Dwarf #2,1081,54050,18014
5,Dwarf #3,1168,58400,19464
5,Dwarf #4,1066,53300,17764
5,Dwarf #5,1208,60400,20131
5,Dwarf #6,1152,57600,19198
5,Dwarf #7,1087,54350,18114
5,Dwarf #8,1003,50150,16714
5,Dwarf #9,1025,51250,17081
5,Dwarf #10,991,49550,16514
5,Dwarf #11,1139,56950,18981
5,Dwarf #12,1229,61450,20481
5,Dwarf #13,1121,56050,18681
5,Dwarf #14,1220,61000,20331
5,Dwarf #15,1147,57350,19114
5,Dwarf #16,1237,61850,20614
5,Dwarf #17,1139,56950,18981
5,Dwarf #18,1138,56900,18964
5,Dwarf #19,1094,54700,18231
5,Dwarf #20,887,44350,14781
6,Dwarf #1,938,46900,15631
6,Dwarf #2,1153,57650,19214
6,Dwarf #3,1178,58900,19631
6,Dwarf #4,1057,52850,17614
6,Dwarf #5,1168,58400,19464
6,Dwarf #6,1148,57400,19131
6,Dwarf #7,955,47750,15914
6,Dwarf #8,913,45650,15214
6,Dwarf #9,1159,57950,19314
6,Dwarf #10,1048,52400,17464
6,Dwarf #11,1125,56250,18748
6,Dwarf #12,963,48150,16048
6,Dwarf #13,1119,55950,18648
6,Dwarf #14,1201,60050,20014
6,Dwarf #15,1227,61350,20448
6,Dwarf #16,1221,61050,20348
6,Dwarf #17,1080,54000,17998
6,Dwarf #18,1138,56900,18964
6,Dwarf #19,1099,54950,18314
6,Dwarf #20,1163,58150,19381
7,Dwarf #1,1064,53200,17731
7,Dwarf #2,1156,57800,19264
7,Dwarf #3,1271,63550,21181
7,Dwarf #4,1074,53700,17898
7,Dwarf #5,1026,51300,17098
7,Dwarf #6,968,48400,16131
7,Dwarf #7,1147,57350,19114
7,Dwarf #8,1195,59750,19914
7,Dwarf #9,1135,56750,18914
7,Dwarf #10,1152,57600,19198
7,Dwarf #11,897,44850,14948
7,Dwarf #12,1048,52400,17464
7,Dwarf #13,1028,51400,17131
7,Dwarf #14,1220,61000,20331
7,Dwarf #15,1054,52700,17564
7,Dwarf #16,1008,50400,16798
7,Dwarf #17,1200,60000,19998
7,Dwarf #18,1219,60950,20314
7,Dwarf #19,1224,61200,20398
7,Dwarf #20,1178,58900,19631
